,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost
168,893994.2430521371,169,0.6011447952097521,50,120000,185200,307200
169,893682.6062060536,170,0.6013891994514867,50,120000,186000,308000
170,893366.6141352304,171,0.601631424095126,50,120000,186800,308800
171,893046.3306650515,172,0.6018715010824626,50,120000,187600,309600
172,892721.8183250744,173,0.6021094617067851,50,120000,188400,310400
173,892393.1383825596,174,0.602345336629658,50,120000,189200,311200
174,892060.3508749448,175,0.6025791558971735,50,120000,190000,312000
175,891723.5146413043,176,0.602810948955696,50,120000,190800,312800
176,891382.6873528387,177,0.6030407446671205,50,120000,191600,313600
177,891037.9255424184,178,0.603268571323658,50,120000,192400,314400
178,890689.284633223,179,0.6034944566621677,50,120000,193200,315200
179,890336.8189665063,180,0.6037184278780531,50,120000,194000,316000
180,889980.5818285188,181,0.6039405116387347,50,120000,194800,316800
181,889620.6254766197,182,0.6041607340967187,50,120000,195600,317600
182,889257.0011646003,183,0.604379120902269,50,120000,196400,318400
183,888889.7591672554,184,0.6045956972157055,50,120000,197200,319200
184,888518.9488042265,185,0.604810487719336,50,120000,198000,320000
185,888144.6184631342,186,0.6050235166290324,50,120000,198800,320800
186,887766.8156220359,187,0.6052348077054709,50,120000,199600,321600
187,887385.5868712284,188,0.605444384265042,50,120000,200400,322400
188,887000.9779344103,189,0.6056522691904426,50,120000,201200,323200
189,886613.0336892398,190,0.6058584849409631,50,120000,202000,324000
190,886221.7981872936,191,0.606063053562477,50,120000,202800,324800
191,885827.3146734617,192,0.6062659966971463,50,120000,203600,325600
192,885429.6256047834,193,0.6064673355928486,50,120000,204400,326400
193,885028.7726687538,194,0.6066670911123383,50,120000,205200,327200
194,884624.796801113,195,0.6068652837421501,50,120000,206000,328000
195,884217.7382031344,196,0.6070619336012498,50,120000,206800,328800
196,883807.636358435,197,0.6072570604494482,50,120000,207600,329600
197,883394.5300493124,198,0.6074506836955765,50,120000,208400,330400
198,882978.4573726391,199,0.607642822405441,50,120000,209200,331200
199,882559.4557553092,200,0.6078334953095531,50,120000,210000,332000
200,882137.5619692721,201,0.6080227208106533,50,120000,210800,332800
201,881712.8121461507,202,0.6082105169910271,50,120000,211600,333600
202,881285.2417914674,203,0.6083969016196239,50,120000,212400,334400
203,880854.8857984839,204,0.608581892158984,50,120000,213200,335200
204,880421.7784616693,205,0.6087655057719782,50,120000,214000,336000
205,879985.953489813,206,0.6089477593283702,50,120000,214800,336800
206,879547.4440187826,207,0.609128669411202,50,120000,215600,337600
207,879106.2826239502,208,0.6093082523230121,50,120000,216400,338400
208,878662.5013322877,209,0.6094865240918889,50,120000,217200,339200
209,878216.1316341476,210,0.6096635004773662,50,120000,218000,340000
210,877767.2044947348,211,0.6098391969761648,50,120000,218800,340800
211,877315.7503652824,212,0.6100136288277854,50,120000,219600,341600
212,876861.7991939373,213,0.6101868110199559,50,120000,220400,342400
213,876405.3804363662,214,0.6103587582939397,50,120000,221200,343200
214,875946.5230660902,215,0.6105294851497075,50,120000,222000,344000
215,875485.2555845575,216,0.6106990058509786,50,120000,222800,344800
216,875021.6060309589,217,0.6108673344301324,50,120000,223600,345600
217,874555.6019917941,218,0.6110344846929966,50,120000,224400,346400
218,874087.2706102026,219,0.6112004702235166,50,120000,225200,347200
219,873616.6385950549,220,0.6113653043883055,50,120000,226000,348000
220,873143.7322298216,221,0.6115290003410822,50,120000,226800,348800
221,872668.5773812225,222,0.6116915710270002,50,120000,227600,349600
222,872191.1995076586,223,0.6118530291868677,50,120000,228400,350400
223,871711.6236674404,224,0.6120133873612649,50,120000,229200,351200
224,871229.8745268132,225,0.6121726578945609,50,120000,230000,352000
225,870745.9763677882,226,0.6123308529388324,50,120000,230800,352800
226,870259.9530957821,227,0.6124879844576873,50,120000,231600,353600
227,869771.828247071,228,0.6126440642299947,50,120000,232400,354400
228,869281.6249960714,229,0.6127991038535291,50,120000,233200,355200
229,868789.3661624375,230,0.612953114748522,50,120000,234000,356000
230,868295.0742179973,231,0.6131061081611332,50,120000,234800,356800
